t_s,v_cmd_ms,voltage_v,encoder_v_ms,encoder_rpm,encoder_count
1.947,0.0,0.1565,-0.0,-0.0,2207099
1.999,0.0,0.1565,-0.0,-0.0,2207099
2.051,0.025,0.2796,-0.0,-0.0,2207099
2.103,0.025,0.2796,-0.0,-0.0,2207099
2.155,0.025,0.2796,-0.0,-0.0,2207099
2.207,0.025,0.2796,-0.0,-0.0,2207099
2.259,0.025,0.2796,-0.019729681102309868,-6.28015254611874,2207143
2.311,0.025,0.2796,-0.019729681102309868,-6.28015254611874,2207143
2.363,0.025,0.2796,-0.065529601369207,-20.858719953501456,2207291
2.415,0.025,0.2796,-0.065529601369207,-20.858719953501456,2207291
2.467,0.025,0.2796,-0.06904007549268891,-21.976138572198124,2207447
2.519,0.025,0.2796,-0.06904007549268891,-21.976138572198124,2207447
2.571,0.025,0.2796,-0.07216068920897177,-22.969460769051693,2207610
2.624,0.025,0.2796,-0.07216068920897177,-22.969460769051693,2207610
2.675,0.025,0.2796,-0.07214596581257152,-22.964774166419293,2207773
2.727,0.025,0.2796,-0.07214596581257152,-22.964774166419293,2207773
2.779,0.025,0.2796,-0.07214034273021923,-22.962984283715734,2207936
2.831,0.025,0.2796,-0.07214034273021923,-22.962984283715734,2207936
2.884,0.025,0.2796,-0.07199280262978841,-22.916020811140058,2208099
2.935,0.025,0.2796,-0.07199280262978841,-22.916020811140058,2208099
2.987,0.025,0.2796,-0.07052020780380094,-22.447279319685144,2208258
3.039,0.025,0.2796,-0.07052020780380094,-22.447279319685144,2208258
3.091,0.025,0.2796,-0.07221980867409658,-22.98827907926682,2208421
3.143,0.025,0.2796,-0.07221980867409658,-22.98827907926682,2208421
3.195,0.025,0.2796,-0.11247320793246718,-35.80133401570946,2208581
3.247,0.025,0.2796,-0.11247320793246718,-35.80133401570946,2208581
3.299,0.025,0.2796,-0.07141037135261016,-22.73062717759157,2208742
3.351,0.025,0.2796,-0.07141037135261016,-22.73062717759157,2208742
3.403,0.025,0.2796,-0.07209423346440233,-22.94830724856154,2208905
3.455,0.025,0.2796,-0.07209423346440233,-22.94830724856154,2208905
3.507,0.025,0.2796,-0.0802023426310801,-25.529198554572496,2209065
3.559,0.025,0.2796,-0.07108259543046593,-22.62629286112005,2209224
3.611,0.025,0.2796,-0.07108259543046593,-22.62629286112005,2209224
3.663,0.025,0.2796,-0.0721951223894156,-22.980421190799717,2209387
3.715,0.025,0.2796,-0.0721951223894156,-22.980421190799717,2209387
3.767,0.025,0.2796,-0.07045110033394646,-22.425281728821314,2209546
3.819,0.025,0.2796,-0.07045110033394646,-22.425281728821314,2209546
3.871,0.025,0.2796,-0.0722687340386773,-23.003852506498013,2209709
3.923,0.025,0.2796,-0.0722687340386773,-23.003852506498013,2209709
3.975,0.025,0.2796,-0.07125665526607601,-22.681697827582262,2209870
4.027,0.05,0.4027,-0.07125665526607601,-22.681697827582262,2209870
4.079,0.05,0.4027,-0.0748861118824673,-23.836989750054784,2210039
4.131,0.05,0.4027,-0.0748861118824673,-23.836989750054784,2210039
4.183,0.05,0.4027,-0.07952890875666163,-25.31483789465404,2210219
4.235,0.05,0.4027,-0.07952890875666163,-25.31483789465404,2210219
4.287,0.05,0.4027,-0.10804817389339363,-34.39280193437255,2210463
4.339,0.05,0.4027,-0.10804817389339363,-34.39280193437255,2210463
4.391,0.05,0.4027,-0.11468153646634903,-36.5042668199858,2210722
4.443,0.05,0.4027,-0.11468153646634903,-36.5042668199858,2210722
4.495,0.05,0.4027,-0.18982752359791305,-60.42397743100255,2210991
4.547,0.05,0.4027,-0.18982752359791305,-60.42397743100255,2210991
4.599,0.05,0.4027,-0.12038363851804033,-38.31930227506802,2211263
4.651,0.05,0.4027,-0.12038363851804033,-38.31930227506802,2211263
4.703,0.05,0.4027,-0.11699742966434498,-37.24143852025371,2211527
4.755,0.05,0.4027,-0.11699742966434498,-37.24143852025371,2211527
4.807,0.05,0.4027,-0.11959235046103192,-38.067427463703076,2211766
4.859,0.05,0.4027,-0.0488168441928266,-15.53888411887048,2211875
4.911,0.05,0.4027,-0.0488168441928266,-15.53888411887048,2211875
4.963,0.05,0.4027,-0.08325825276326218,-26.50192496093526,2212063
5.015,0.05,0.4027,-0.08325825276326218,-26.50192496093526,2212063
5.067,0.05,0.4027,-0.11556021739761181,-36.78395964720792,2212324
5.119,0.05,0.4027,-0.11556021739761181,-36.78395964720792,2212324
5.171,0.05,0.4027,-0.11642170722205532,-37.05818037517503,2212587
5.223,0.05,0.4027,-0.11642170722205532,-37.05818037517503,2212587
5.275,0.05,0.4027,-0.11867286904046524,-37.77474743737439,2212855
5.327,0.05,0.4027,-0.11867286904046524,-37.77474743737439,2212855
5.379,0.05,0.4027,-0.1172043888185486,-37.307315665072956,2213120
5.431,0.05,0.4027,-0.1172043888185486,-37.307315665072956,2213120
5.483,0.05,0.4027,-0.11823656820286477,-37.63586856741588,2213387
5.535,0.05,0.4027,-0.11823656820286477,-37.63586856741588,2213387
5.587,0.05,0.4027,-0.11871371053866434,-37.78774769001772,2213655
5.639,0.05,0.4027,-0.11871371053866434,-37.78774769001772,2213655
5.691,0.05,0.4027,-0.08191782554297532,-26.075253725008096,2213840
5.743,0.05,0.4027,-0.08191782554297532,-26.075253725008096,2213840
5.795,0.05,0.4027,-0.006326548841101595,-2.013803041547242,2213849
5.847,0.05,0.4027,-0.006326548841101595,-2.013803041547242,2213849
5.899,0.05,0.4027,-0.014171032383240176,-4.510779705015993,2213881
5.95,0.05,0.4027,-0.014171032383240176,-4.510779705015993,2213881
6.003,0.07500000000000001,0.5257,-0.07841373948665245,-24.959868491241753,2214058
